room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
15771735,1498,101992409,Shared room,,Asheville,,Asheville,0,0.0,4,1.0,,67.0,,ONLY AVAILABLE ON A MONTHLY LEASE,2017-07-20 03:01:37.619888,35.643129,-82.529849,0101000020E61000005FB4C70BE9A154C0FA0D130D52D24140
18284194,1498,126414164,Shared room,,Asheville,,Asheville,32,5.0,4,1.0,,76.0,,"Cozy, Bright, Close Everything but the city noises",2017-07-20 03:01:17.145334,35.579452,-82.56975,0101000020E61000005839B4C876A454C008CDAE7B2BCA4140
18091012,1498,122380971,Shared room,,Asheville,,Asheville,4,4.5,2,1.0,,45.0,,Comfy couch for a good nights sleep,2017-07-20 03:01:15.474042,35.572311,-82.542988,0101000020E6100000B587BD50C0A254C00E12A27C41C94140
12286328,1498,746673,Shared room,,Asheville,,Asheville,24,4.5,6,1.0,,26.0,,Mixed Dorm,2017-07-20 03:01:14.909264,35.579159,-82.596392,0101000020E610000025E659492BA654C08F17D2E121CA4140
156926,1498,746673,Shared room,,Asheville,,Asheville,152,4.5,6,1.0,,26.0,,Mixed Dorm Bunk at BPS Hostel,2017-07-20 03:01:14.906881,35.577755,-82.594996,0101000020E61000000D501A6A14A654C0DD0C37E0F3C94140
12989718,1498,746673,Shared room,,Asheville,,Asheville,20,4.5,4,1.0,,26.0,,Female Dorm at BPS Hostel,2017-07-20 03:01:14.903341,35.578063,-82.596607,0101000020E6100000246420CF2EA654C08A03E8F7FDC94140
6765734,1498,746673,Shared room,,Asheville,,Asheville,52,4.5,5,1.0,,26.0,,Female Dorm at Sharky's Hostel,2017-07-20 03:01:14.895823,35.57812,-82.594802,0101000020E61000001B66683C11A654C0EE940ED6FFC94140
16185806,1498,48579050,Shared room,,Asheville,,Asheville,14,4.5,2,1.0,,20.0,,Come Surf on our Couch,2017-07-20 03:01:14.891074,35.48385,-82.528027,0101000020E6100000EB19C231CBA154C0B515FBCBEEBD4140
9562953,1498,7835259,Entire home/apt,,Asheville,,Asheville,3,5.0,6,3.0,,46.0,,"Luxury, walk-to-town w/ jacuzzi and fenced-in yard",2017-07-20 02:58:36.773554,35.605758,-82.543669,0101000020E610000056B60F79CBA254C02BA5677A89CD4140
16211914,1498,100026513,Entire home/apt,,Asheville,,Asheville,30,5.0,5,2.0,,150.0,,"Charm, Comfort, Convenience - EverMore Asheville",2017-07-20 02:58:14.258827,35.60445,-82.544281,0101000020E610000063B5F97FD5A254C09A081B9E5ECD4140
