room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
15771735,1097,101992409,Shared room,,Asheville,,Asheville,0,0.0,4,1.0,,67.0,,ONLY AVAILABLE ON A MONTHLY LEASE,2017-04-12 12:17:40.298234,35.643129,-82.529849,0101000020E61000005FB4C70BE9A154C0FA0D130D52D24140
12286328,1097,746673,Shared room,,Asheville,,Asheville,18,4.5,6,1.0,,25.0,,Mixed Dorm,2017-04-12 12:17:38.207837,35.579159,-82.596392,0101000020E610000025E659492BA654C08F17D2E121CA4140
6765734,1097,746673,Shared room,,Asheville,,Asheville,45,4.5,5,1.0,,25.0,,Female Dorm at Sharky's Hostel,2017-04-12 12:17:38.202380,35.57812,-82.594802,0101000020E61000001B66683C11A654C0EE940ED6FFC94140
12989718,1097,746673,Shared room,,Asheville,,Asheville,12,4.5,4,1.0,,25.0,,Female Dorm at BPS Hostel,2017-04-12 12:17:38.200033,35.578063,-82.596607,0101000020E6100000246420CF2EA654C08A03E8F7FDC94140
156926,1097,746673,Shared room,,Asheville,,Asheville,142,4.5,6,1.0,,25.0,,Mixed Dorm Bunk at BPS Hostel,2017-04-12 12:17:38.197716,35.577755,-82.594996,0101000020E61000000D501A6A14A654C0DD0C37E0F3C94140
18091012,1097,122380971,Shared room,,Asheville,,Asheville,0,0.0,2,1.0,,25.0,,Vintage Modern Shared living room,2017-04-12 12:17:38.194658,35.572311,-82.542988,0101000020E6100000B587BD50C0A254C00E12A27C41C94140
1475299,1097,1566145,Entire home/apt,,Asheville,,Asheville,15,5.0,5,3.0,,265.0,,REFOCUS FIVE -Family friendly monthly rental!,2017-04-12 12:13:54.253324,35.644548,-82.526513,0101000020E6100000CEFA9463B2A154C0E259828C80D24140
12069539,1097,1253750,Entire home/apt,,Asheville,,Asheville,2,0.0,12,6.0,,250.0,,Large 6 BR West Asheville Home Great for Families,2017-04-12 12:13:53.230981,35.566253,-82.608363,0101000020E61000002C465D6BEFA654C0862172FA7AC84140
7853266,1097,41383768,Entire home/apt,,Asheville,,Asheville,13,5.0,6,3.0,,225.0,,Elegant Craftsman Porch House Close to Downtown,2017-04-12 12:13:50.528317,35.571253,-82.570386,0101000020E61000002906483481A454C0F65E7CD11EC94140
13044640,1097,21362898,Entire home/apt,,Asheville,,Asheville,3,4.5,6,3.0,,240.0,,Charming Bungalow in the heart of West Asheville,2017-04-12 12:13:50.524143,35.5806,-82.597333,0101000020E610000095F430B43AA654C05F07CE1951CA4140
9794899,1097,50478143,Entire home/apt,,Asheville,,Asheville,14,5.0,4,1.0,,205.0,,DOWNTOWN AVL LOFT--GREAT LOCATION!!,2017-04-12 12:13:50.519015,35.595199,-82.553883,0101000020E6100000DDB3AED172A354C053CE177B2FCC4140
1275224,1097,379759,Entire home/apt,,Asheville,,Asheville,142,5.0,4,2.0,,225.0,,LEFT BANK B&B - AN ARTISAN B&B,2017-04-12 12:13:50.505256,35.581418,-82.538249,0101000020E6100000B306EFAB72A254C022A7AFE76BCA4140
7757846,1097,7657510,Entire home/apt,,Asheville,,Formerly ETJ,24,4.5,5,2.0,,154.0,,Cozy Rustic Cabin near downtown AVL,2017-04-12 12:13:41.951044,35.593588,-82.594282,0101000020E61000007FA65EB708A654C026A60BB1FACB4140
