room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1441145,1256,5761783,Private room,,Asheville,,Asheville,149,5.0,2,1.0,,78.0,,Location! Location! Location!,2017-05-14 23:27:16.876706,35.602974,-82.558979,0101000020E6100000A609DB4FC6A354C04E2B85402ECD4140
10221570,1256,27120946,Private room,,Asheville,,Asheville,80,5.0,1,1.0,,55.0,,Modern Room-Small Urban Homestead,2017-05-14 23:26:59.397360,35.563269,-82.521373,0101000020E61000001D01DC2C5EA154C0E1ECD63219C84140
15771735,1256,101992409,Shared room,,Asheville,,Asheville,0,0.0,4,1.0,,67.0,,ONLY AVAILABLE ON A MONTHLY LEASE,2017-05-14 19:14:25.001257,35.643129,-82.529849,0101000020E61000005FB4C70BE9A154C0FA0D130D52D24140
12286328,1256,746673,Shared room,,Asheville,,Asheville,21,4.5,6,1.0,,26.0,,Mixed Dorm,2017-05-14 19:14:21.510617,35.579159,-82.596392,0101000020E610000025E659492BA654C08F17D2E121CA4140
9234967,1256,48002359,Entire home/apt,,Asheville,,Asheville,52,5.0,4,1.0,,145.0,,Montford Hills Apartment,2017-05-14 19:08:03.090847,35.605411,-82.575243,0101000020E6100000301004C8D0A454C0BFD18E1B7ECD4140
13479400,1256,67061733,Entire home/apt,,Asheville,,Asheville,25,5.0,4,2.0,,149.0,,"2 BR, 1 BA home in hip West Asheville",2017-05-14 19:08:02.888779,35.57345,-82.581651,0101000020E6100000E2AB1DC539A554C013F241CF66C94140
7810101,1256,41116459,Entire home/apt,,Asheville,,Asheville,0,0.0,4,1.0,,120.0,,Beautiful apartment in Asheville,2017-05-14 19:07:58.661296,35.480875,-82.54474,0101000020E6100000AD342905DDA254C0643BDF4F8DBD4140
17977069,1256,123404809,Entire home/apt,,Asheville,,Asheville,0,0.0,6,3.0,,115.0,,North Asheville Cottage - Sleeps 6,2017-05-14 19:07:50.527833,35.627084,-82.567416,0101000020E610000089CE328B50A454C025ECDB4944D04140
326772,1256,1178227,Entire home/apt,,Asheville,,Formerly ETJ,45,5.0,4,1.0,,108.0,,Blue Ridge Parkway Arts'n Crafts!,2017-05-14 19:07:43.490296,35.553264,-82.491391,0101000020E61000001EA33CF3729F54C0EE06D15AD1C64140
11315898,1256,58379581,Entire home/apt,,Asheville,,Asheville,40,5.0,4,1.0,,99.0,,Bright and Happy Private Apartment,2017-05-14 19:07:36.701756,35.577496,-82.597273,0101000020E61000002A7288B839A654C010C99063EBC94140
1583423,1256,427027,Entire home/apt,,Asheville,,Asheville,35,5.0,4,2.0,,305.0,,Cosmopolitan Loft in City Centre,2017-05-14 19:07:19.822993,35.598404,-82.552269,0101000020E61000000E66136058A354C0D6E5948098CC4140
17606369,1256,96187307,Entire home/apt,,Asheville,,Asheville,0,0.0,5,2.0,,350.0,,"Downtown Asheville in Biltmore Village; luxurious flat, restaurants & more!",2017-05-14 19:07:19.808393,35.565438,-82.542319,0101000020E6100000F73FC05AB5A254C034F5BA4560C84140
1475299,1256,1566145,Entire home/apt,,Asheville,,Asheville,15,5.0,5,3.0,,265.0,,REFOCUS FIVE - monthly rental or event choice!,2017-05-14 19:07:14.639516,35.644548,-82.526513,0101000020E6100000CEFA9463B2A154C0E259828C80D24140
13524286,1256,32054468,Entire home/apt,,Asheville,,Asheville,7,5.0,4,2.0,,219.0,,Downton Annie Apartment # One,2017-05-14 19:07:11.153475,35.593451,-82.561492,0101000020E6100000CD3D247CEFA354C0A663CE33F6CB4140
3439245,1256,17308817,Entire home/apt,,Asheville,,Asheville,58,4.5,6,3.0,,245.0,,Vacation in Historic Montford,2017-05-14 19:07:11.130686,35.600612,-82.558571,0101000020E61000009E5F94A0BFA354C0E6CAA0DAE0CC4140
15358166,1256,98016924,Entire home/apt,,Asheville,,Asheville,21,5.0,5,2.0,,295.0,,Luxury Loft in Heart of Downtown Asheville,2017-05-14 19:07:11.089605,35.596513,-82.553182,0101000020E610000019AF795567A354C0C651B9895ACC4140
17648416,1256,1786031,Entire home/apt,,Asheville,,Asheville,0,0.0,2,1.0,,250.0,,Apartment Bungalow- 10 min walk to Downtown AVL,2017-05-14 19:07:09.050387,35.602235,-82.548856,0101000020E6100000A88DEA7420A354C0D7C0560916CD4140
14076438,1256,38060048,Entire home/apt,,Asheville,,Asheville,12,5.0,4,2.0,,250.0,,Cozy Stone Cottage,2017-05-14 19:07:07.390870,35.586408,-82.490234,0101000020E6100000C9586DFE5F9F54C06F0ED76A0FCB4140
1275224,1256,379759,Entire home/apt,,Asheville,,Asheville,144,5.0,4,2.0,,225.0,,LEFT BANK B&B - AN ARTISAN B&B,2017-05-14 19:07:07.369915,35.581418,-82.538249,0101000020E6100000B306EFAB72A254C022A7AFE76BCA4140
291937,1256,397780,Entire home/apt,,Asheville,,Asheville,115,5.0,2,1.0,,250.0,,primo apt in downtown Asheville!,2017-05-14 19:07:07.367138,35.590865,-82.551427,0101000020E610000069C878944AA354C0EFACDD76A1CB4140
706115,1256,3605290,Entire home/apt,,Asheville,,Asheville,246,5.0,4,2.0,,250.0,,EXPERIENCE DOWNTOWN ASHEVILLE,2017-05-14 19:07:07.319037,35.597645,-82.556443,0101000020E6100000A4C519C39CA354C018CFA0A17FCC4140
13186091,1256,51831860,Entire home/apt,,Asheville,,Asheville,25,5.0,2,1.0,,200.0,,Bluebird Sanctuary,2017-05-14 19:07:07.316145,35.585715,-82.569957,0101000020E610000015C8EC2C7AA454C069E388B5F8CA4140
16587446,1256,78507878,Entire home/apt,,Asheville,,Asheville,25,5.0,6,2.0,,260.0,,Spacious Downtown Asheville Loft,2017-05-14 19:07:07.311704,35.595486,-82.552881,0101000020E61000001B65FD6662A354C0E99C9FE238CC4140
15481467,1256,9189011,Entire home/apt,,Asheville,,Asheville,29,5.0,4,2.0,,295.0,,"Avid Traveler HQ, Your Homebase For Adventures",2017-05-14 19:07:07.309223,35.599297,-82.555995,0101000020E6100000546F0D6C95A354C0A3CB9BC3B5CC4140
5885284,1256,14991088,Entire home/apt,,Asheville,,Asheville,52,5.0,4,2.0,,215.0,,Inn on Westwood - Atkinson Suite,2017-05-14 19:07:07.283021,35.5815,-82.578822,0101000020E6100000240D6E6B0BA554C0DF4F8D976ECA4140
13606248,1256,78726475,Entire home/apt,,Asheville,,Asheville,19,4.5,6,2.0,,185.0,,Asheville Downtown Cozy Cottage,2017-05-14 19:07:05.930267,35.591726,-82.558242,0101000020E61000003C50A73CBAA354C0B11875ADBDCB4140
2678442,1256,13713928,Entire home/apt,,Asheville,,Asheville,106,5.0,2,0.0,,189.0,,Asheville Micro House,2017-05-14 19:07:02.596110,35.595928,-82.549784,0101000020E61000004DF73AA92FA354C0A662635E47CC4140
16840001,1256,112105797,Entire home/apt,,Asheville,,Asheville,0,0.0,4,2.0,,150.0,,Kensington Suite,2017-05-14 19:06:54.850165,35.492546,-82.51787,0101000020E6100000176536C824A154C047E350BF0BBF4140
15345095,1256,53338225,Entire home/apt,,Asheville,,Asheville,20,5.0,4,1.0,,157.0,,Walk Downtown Enchanting Landmark Montford Home #1,2017-05-14 19:06:54.781374,35.605063,-82.564184,0101000020E61000004B3B35971BA454C0848252B472CD4140
16583758,1256,35166807,Entire home/apt,,Asheville,,Formerly ETJ,1,0.0,6,3.0,,150.0,,Mountain Retreat City Convenience.,2017-05-14 19:06:52.822831,35.523378,-82.615924,0101000020E610000094347F4C6BA754C013B9E00CFEC24140
6686924,1256,16339042,Entire home/apt,,Asheville,,Asheville,64,5.0,5,2.0,,145.0,,Mid Century Home Close DownTown,2017-05-14 19:06:50.491445,35.580181,-82.505704,0101000020E6100000355D4F745DA054C05B61FA5E43CA4140
